,Estrato,Estado,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Antigüedad,Piso N°,Administración,Precio m²,Precio total (COP),Tipo de apartamento
377,5,,4,3,2,222,222,más de 30 años,6,$ 881.000 COP,"$ 3.828.828,83",$850.000.000,
378,5,,3,2,1,84,84,1 a 8 años,,$ 300.000 COP,"$ 6.904.761,9",$580.000.000,
379,5,,3,2,1,93,93,más de 30 años,,$ 270.000 COP,"$ 6.666.666,67",$620.000.000,
380,4,,3,3,1,105,105,16 a 30 años,,$ 170.000 COP,"$ 4.095.238,1",$430.000.000,
381,5,En construcción,,,,,,,,,,,
382,4,,3,2,1,55,55,1 a 8 años,15,$ 240.000 COP,"$ 5.181.818,18",$285.000.000,
383,3,,3,2,1,71,71,,Otro,$ 208.939 COP,"$ 3.612.676,06",$256.500.000,
384,3,,3,1,1,75,75,9 a 15 años,7,No definida,"$ 4.933.333,33",$370.000.000,
385,4,,3,2,1,87,87,16 a 30 años,1,No definida,"$ 4.022.988,51",$350.000.000,
386,5,,3,2,1,100,100,1 a 8 años,,$ 231.000 COP,$ 5.200.000,$520.000.000,
387,4,Sobre planos,,,,,,,,,,,
388,5,,3,2,1,99,99,1 a 8 años,,$ 380.000 COP,"$ 5.555.555,56",$550.000.000,
389,5,,3,2,1,67,67,1 a 8 años,,$ 300.000 COP,"$ 5.149.253,73",$345.000.000,
390,4,,3,2,1,55,55,1 a 8 años,1,$ 210.000 COP,"$ 4.727.272,73",$260.000.000,
391,5,,3,3,1,110,110,más de 30 años,1,$ 550.000 COP,"$ 6.545.454,55",$720.000.000,
392,3,,3,2,1,70,70,1 a 8 años,Otro,$ 233.971 COP,"$ 4.857.142,86",$340.000.000,
393,3,,2,2,,60,60,,,$ 183.000 COP,"$ 4.376.666,67",$262.600.000,
394,3,,3,2,,59,59,16 a 30 años,1,$ 140.000 COP,"$ 3.898.305,08",$230.000.000,
